name,category,price,stock,isOnSale
Laptop_0,생필품,25411,410,True
Desk_1,가구,78286,174,True
Desk_2,생필품,167812,94,True
Sofa_3,식음료,152609,484,True
Watch_4,생필품,97652,53,True
Sofa_5,뷰티,72395,241,False
Desk_6,생필품,160699,11,False
Coffee_7,식음료,75212,71,True
Shampoo_8,뷰티,15996,322,False
Toothpaste_9,식음료,115725,448,False
Toothpaste_10,식음료,9033,352,True
Desk_11,생필품,24958,344,True
Sofa_12,뷰티,156959,441,True
Coffee_13,전자제품,133453,97,False
Phone_14,패션,179517,281,False
Coffee_15,패션,120355,241,False
TV_16,식음료,188153,57,False
Desk_17,생필품,25735,239,False
Toothpaste_18,가구,33450,16,True
Laptop_19,가구,79691,279,True
Desk_20,뷰티,193283,108,False
Phone_21,식음료,31116,242,True
Coffee_22,뷰티,130379,237,True
Sofa_23,뷰티,199889,262,False
Sofa_24,식음료,122687,75,False
Phone_25,전자제품,2140,88,False
Watch_26,패션,119484,218,True
Laptop_27,식음료,41906,270,False
Laptop_28,생필품,155710,341,False
Phone_29,가구,100013,145,False
Toothpaste_30,생필품,28417,285,True
TV_31,패션,32594,373,False
Shirt_32,패션,125868,345,False
Toothpaste_33,전자제품,141667,197,False
Phone_34,생필품,149626,335,True
Coffee_35,패션,50427,118,True
Laptop_36,식음료,135505,323,False
Phone_37,뷰티,74344,299,False
Laptop_38,전자제품,52996,367,False
Coffee_39,가구,38620,375,False
Phone_40,뷰티,95727,90,False
Shirt_41,패션,144047,16,False
Watch_42,가구,82307,451,True
Coffee_43,전자제품,91678,226,True
Desk_44,생필품,186912,498,False
Phone_45,가구,123766,445,True
Sofa_46,전자제품,175528,56,False
Sofa_47,패션,94291,173,True
TV_48,가구,20450,153,False
Sofa_49,전자제품,196786,329,False
Coffee_50,전자제품,54995,229,True
Laptop_51,식음료,97881,359,False
Sofa_52,뷰티,164360,435,True
Sofa_53,식음료,150796,136,False
Shirt_54,생필품,48115,441,False
Watch_55,뷰티,107624,163,True
Coffee_56,가구,139092,286,True
Coffee_57,생필품,85328,248,False
TV_58,식음료,65263,419,False
Desk_59,생필품,124231,418,False
Laptop_60,식음료,55908,343,True
Desk_61,전자제품,24829,294,False
Laptop_62,가구,165130,264,True
Laptop_63,가구,32951,265,True
Toothpaste_64,가구,69821,448,False
Watch_65,가구,24677,367,True
TV_66,패션,53844,365,True
Shirt_67,패션,56050,264,False
Shirt_68,뷰티,67495,18,False
Coffee_69,뷰티,79936,29,False
Coffee_70,패션,154731,463,True
Coffee_71,생필품,121245,25,True
Desk_72,가구,139503,200,True
Toothpaste_73,식음료,68055,42,True
Sofa_74,가구,180756,376,False
Watch_75,전자제품,83445,198,True
Coffee_76,뷰티,199061,499,False
Shampoo_77,가구,159302,482,False
Coffee_78,뷰티,15452,100,False
Shirt_79,식음료,148525,148,False
Watch_80,가구,150405,125,False
Coffee_81,식음료,72041,212,False
Toothpaste_82,전자제품,79495,120,True
Sofa_83,가구,183405,396,True
TV_84,뷰티,75687,110,False
Desk_85,뷰티,29955,100,False
Watch_86,식음료,121755,119,False
Shampoo_87,뷰티,25275,320,True
Coffee_88,뷰티,195736,353,False
TV_89,생필품,62870,484,True
TV_90,패션,40083,78,True
Coffee_91,전자제품,169440,356,False
Phone_92,생필품,190795,238,True
Watch_93,식음료,60631,221,True
TV_94,전자제품,86761,459,False
Laptop_95,전자제품,11848,394,False
TV_96,전자제품,3471,391,False
Coffee_97,식음료,133970,288,True
Phone_98,뷰티,101822,447,True
Desk_99,패션,26397,287,True
